state,code,Penalty Enhancement,Race/Religion/Ethnicity,Sexual Orientation,Disability,Gender,Gender Identity
Alabama,AL,AL ST § 13A-5-13 (1993),1,0,1,0,0
Alaska,AK,AS § 12.55.155 (1996),1,0,1,1,0
Arizona,AZ,AZ ST § 13-701,1,1,1,1,0
Arkansas,AR,N/A,0,0,0,0,0
California,CA,"CA PENAL § 422.55
CA PENAL § 422.7
CA PENAL § 422.75",1,1,1,1,1
Colorado,CO,CO ST § 18-9-121 (1988),1,1,1,0,1
Connecticut,CT,"
CT ST § 53a-40a
CT ST § 53a181(j-k)",1,1,1,1,1
Delaware,DE,DE ST TI 11 § 1304 (1995),1,1,1,1,1
District of Columbia,DC,D.C. Code § 22-3703,1,1,1,1,1
Florida,FL,"
FL ST § 775.085 (1992)
FL ST § 775.085 (1989)
FL ST § 775.0863 (2016)",1,1,1,0,0
Georgia,GA,GA 17-4-20.2,1,1,1,1,0
Hawaii,HI,HI ST § 706-662 (1972),1,1,1,1,1
Idaho,ID,"ID ST § 18-7902 (1983)
ID ST § 18-7903 (1983)",1,0,0,0,0
Illinois,IL,IL ST CH 720 § 5/12-7.1 (1996),1,1,1,1,1
Indiana,IN,N/A,0,0,0,0,0
Iowa,IA,IA ST § 792A.2,1,1,1,1,0
Kansas,KS,KS ST 21-6815,1,1,0,0,0
Kentucky,KY,KY ST § 532.031 (1998),1,1,0,0,0
Louisiana,LA,LA R.S. 14:107.2 (B)(C ),1,1,1,1,0
Maine,ME,ME ST T. 17-A § 1151 (1995),1,1,1,1,0
Maryland,MD,"
MD CRIM LAW § 10-307
MD CRIM LAW § 10-306",1,1,1,1,1
Massachusetts,MA,MA ST 265 § 39 (1997),1,1,1,1,1
Michigan,MI,MI ST 750.147b (1989),1,0,0,1,0
Minnesota,MN,MN ST § 609.2231 (1989),1,1,1,1,1
Mississippi,MS,MS ST § 99-19-301 (1994),1,0,0,1,0
Missouri,MO,MO ST 557.035 (1999),1,1,1,1,1
Montana,MT,MT ST 45-5-222 (1982),1,0,0,0,0
Nebraska,NE,NE ST § 28-111,1,1,1,1,0
Nevada,NV,"NV ST 193.1675 (1997)
NV ST 207.185 (1995)",1,1,1,1,1
New Hampshire,NH,NH ST § 651:6 (1995),1,1,1,1,1
New Jersey,NJ,NJ ST 2C:16-1 (2008),1,1,1,1,1
New Mexico,NM,NM ST § 31-18B-3 (1978),1,1,1,1,1
New York,NY,"NY PEN § 485.05
NY PEN § 485.10 (2000)",1,1,1,1,1
North Carolina,NC,"NC ST § 14-3 (1993)
NC ST § 14-401.14
NC ST § 99D-1",1,0,0,1,0
North Dakota,ND,ND ST § 12.1-14-04,1,0,0,1,0
Ohio,OH,OH ST § 2927.12 (1987),1,0,0,0,0
Oklahoma,OK,OK ST T. 21 § 850 (1992),1,0,1,0,0
Oregon,OR,"OR ST § 166.165 OR ST § 166.155 (1989)
OR ST § 166.165",1,1,1,1,1
Pennsylvania,PA,18 PA ST § 2710 (1982),1,0,0,0,0
Rhode Island,RI,RI ST § 12-19-38 (1998),1,1,1,1,0
South Carolina,SC,N/A,0,0,0,0,0
South Dakota,SD,SD ST § 22-19B-1 (1993),1,0,0,0,0
Tennessee,TN,TN ST § 40-35-114 (1989),1,1,1,1,0
Texas,TX,TX PENAL § 12.47 (1993),1,1,1,1,0
Utah,UT,UT Code § 76-3-203.3,1,1,1,1,1
Vermont,VT,VT ST T. 13 § 1455 (1990),1,1,1,1,1
Virginia,VA,VA ST § 18.2-57,1,1,1,1,1
Washington,WA,WA ST 9A.36.080 (1993),1,1,1,1,1
West Virginia,WV,WV ST § 61-6-21 (1993),1,0,0,1,0
Wisconsin,WI,WI ST 939.645 (1996),1,1,1,0,0
Wyoming,WY,N/A,0,0,0,0,0
